,country,gini,longitudine,latitudine
0,South Africa,62.5,22.937506,-30.559482
1,Central African Republic,61.3,20.939444,6.611110999999999
2,Haiti,60.8,-72.285215,18.971187
3,Botswana,60.5,24.684866,-22.328474
4,Namibia,59.7,18.49041,-22.95764
5,Honduras,57.7,-86.241905,15.199999
6,Zambia,57.5,27.849332,-13.133897
7,Hong Kong S.A.R.,53.7,114.1693611,22.3193039
8,Colombia,53.5,-74.297333,4.570868
9,Paraguay,53.2,-58.443832,-23.442503
10,Guatemala,53.0,-90.23075899999999,15.783471
11,Chile,52.1,-71.542969,-35.675147
12,Panama,51.9,-80.782127,8.537981
13,Brazil,51.9,-51.92528,-14.235004
14,Papua New Guinea,50.9,143.95555,-6.314992999999999
15,Swaziland,50.4,31.465866,-26.522503
16,Costa Rica,50.3,-83.753428,9.748916999999999
17,Gambia,50.2,-15.310139,13.443182
18,Zimbabwe,50.1,29.154857,-19.015438
19,Sri Lanka,49.0,80.77179699999999,7.873053999999999
20,Ecuador,48.5,-78.18340599999999,-1.831239
21,Thailand,48.4,100.992541,15.870032
22,Mexico,48.3,-102.552784,23.634501
23,Madagascar,47.5,46.869107,-18.766947
24,Dominican Republic,47.1,-70.162651,18.735693
25,China,46.9,104.195397,35.86166
26,El Salvador,46.9,-88.89653,13.794185
27,Rwanda,46.8,29.873888,-1.940278
28,Bolivia,46.6,-63.58865299999999,-16.290154
29,Singapore,46.4,103.819836,1.352083
30,Malaysia,46.2,101.975766,4.210484
31,Philippines,46.0,121.774017,12.879721
32,Georgia,46.0,-82.9000751,32.1656221
33,South Sudan,46.0,31.3069788,6.876991899999999
34,Saudi Arabia,45.9,45.079162,23.885942
35,Argentina,45.8,-63.61667199999999,-38.416097
36,Mozambique,45.6,35.529562,-18.665695
37,Jamaica,45.5,-77.297508,18.109581
38,Uruguay,45.3,-55.765835,-32.522779
39,Peru,45.3,-75.015152,-9.189967
40,United States of America,45.0,-95.712891,37.09024
41,Cameroon,44.6,12.354722,7.369721999999999
42,Guyana,44.6,-58.93018,4.860416
43,Iran,44.5,53.688046,32.427908
44,Nigeria,43.7,8.675277,9.081999
45,Macedonia,43.6,21.745275,41.608635
46,Chad,43.3,18.732207,15.454166
47,Israel,42.8,34.851612,31.046051
48,Kenya,42.5,37.906193,-0.023559
49,Burundi,42.4,29.918886,-3.373056
50,Ghana,42.3,-1.023194,7.946527
51,Russia,42.0,105.318756,61.52401
52,Ivory Coast,41.5,-5.547079999999999,7.539988999999999
53,Djibouti,40.9,42.590275,11.825138
54,Morocco,40.9,-7.092619999999999,31.791702
55,Turkmenistan,40.8,59.556278,38.969719
56,Nicaragua,40.5,-85.207229,12.865416
